can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
TRUE,TRUE,100,100,198869,0,0,-2,2,0,2,1.0,1.0,0,Benjamin,0.0,11,FALSE,,2025-09-18T04:00:07.778280Z,53,198869.jpg,6.0,FALSE,White,0.4,FALSE,NA,a,1,3,6,32791,1098,94008,1646,0.0,1.1,White,241,2021-07-30,1997-10-08,FALSE,p198869,70,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,6,4,2,8,1,0.01,0.01,0.02,0.87,374,139,340,119,382,137,394,138,NA,,NA,,NA,,0.01,0,0.01,0.02,1.12,0,195,26,701,242,7,5,264,100,1.29,1.29,10.29
TRUE,TRUE,NA,NA,563324,-1,1,-2,2,0,2,1.0,1.0,0,Brayden,0.0,13,FALSE,,NA,38,563324.jpg,0.0,FALSE,Clarke,0.5,FALSE,NA,a,1,3,0,30114,2426,51767,1816,0.0,0.0,Clarke,NA,NA,NA,FALSE,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,443,159,425,157,387,142,443,158,NA,,NA,,NA,,0,0,0,0,0,0,750,247,368,126,450,159,234,85,0,0,0
TRUE,FALSE,0,0,588793,0,0,-1,1,0,2,0.0,0.0,0,Maldini,0.0,14,FALSE,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,588793.jpg,0.0,FALSE,Kacurri,0.1,FALSE,NA,u,1,3,0,10218,0,20032,512,0.0,0.0,Kacurri,NA,NA,NA,FALSE,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,485,184,467,182,434,172,485,183,NA,,NA,,NA,,0,0,0,0,0,0,741,238,414,155,491,183,441,160,0,0,0
TRUE,TRUE,NA,NA,499167,0,0,-1,1,0,2,1.0,1.0,0,Josh,0.0,15,FALSE,,NA,39,499167.jpg,0.0,FALSE,Nichols,0.2,FALSE,NA,a,1,3,0,13272,144,18497,698,0.0,0.0,Nichols,241,2024-07-24,2006-07-26,FALSE,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,470,172,452,170,418,159,470,171,NA,,NA,,NA,,0,0,0,0,0,0,723,223,398,142,476,171,373,134,0,0,0
TRUE,TRUE,100,100,223340,0,0,1,-1,1,3,7.0,7.0,12,Bukayo,6.0,16,FALSE,,2025-08-23T22:30:05.759392Z,101,223340.jpg,5.0,FALSE,Saka,18.1,FALSE,NA,a,1,3,45,2383466,173961,2051190,69200,0.6,4.5,Saka,241,2018-11-28,2001-09-05,FALSE,p223340,681,3,0,5,3,0,0,0,0,0,0,5,152,194.2,257.3,229.0,68.0,4,41,12,57,8,2.41,2.26,4.67,4.43,81,28,17,17,18,11,16,11,1,,4,,1,,0.32,0,0.3,0.62,0.59,0.4,5,3,28,15,35,10,20,6,1.06,0.66,7.53
TRUE,TRUE,50,0,184029,0,0,-2,2,0,3,0.5,0.0,0,Martin,0.0,17,FALSE,Knee injury - 50% chance of playing,2025-10-04T20:00:07.945438Z,78,184029.jpg,2.2,FALSE,Ødegaard,1.3,FALSE,NA,d,1,3,13,133434,272,414677,3383,0.0,1.7,Ødegaard,161,2021-08-20,1998-12-17,FALSE,p184029,201,0,1,1,1,0,0,0,0,0,0,0,47,43.0,65.0,22.0,13.0,6,10,3,19,4,0.14,0.81,0.95,2.36,310,141,171,116,280,152,284,141,3,,2,,3,,0.06,0,0.36,0.42,1.06,0.45,19,13,746,331,253,118,161,54,1.79,0.45,8.51
TRUE,TRUE,50,0,248857,0,0,-2,2,0,3,0.5,0.0,0,Noni,0.0,18,FALSE,Knee injury - 50% chance of playing,2025-09-21T22:30:05.839272Z,68,248857.jpg,2.0,FALSE,Madueke,0.6,FALSE,NA,d,1,3,10,149058,91,227090,1667,0.0,1.5,Madueke,241,2025-07-18,2002-03-10,FALSE,p248857,304,0,0,2,2,0,0,0,0,0,0,0,39,30.2,111.7,105.0,24.6,1,10,3,14,4,0.29,0.86,1.15,2.04,335,152,94,71,87,51,190,102,NA,,NA,,NA,,0.09,0,0.25,0.34,0.6,0.59,43,27,740,329,284,129,230,81,1.18,0.59,4.14
TRUE,TRUE,50,25,444145,0,0,-2,2,0,3,0.7,0.3,0,Gabriel,0.3,19,FALSE,Muscle injury - 50% chance of playing,2025-10-28T21:00:08.076588Z,68,444145.jpg,2.0,FALSE,Martinelli Silva,0.8,FALSE,NA,d,1,3,16,91480,88,177177,8050,0.0,2.4,Martinelli,30,2019-07-15,2001-06-18,FALSE,p444145,214,1,0,1,0,0,0,0,0,0,0,1,56,51.0,30.6,93.0,17.5,3,10,3,16,2,0.75,0.08,0.83,1.97,294,133,266,157,105,65,247,123,NA,,NA,,NA,,0.32,0,0.03,0.35,0.83,0,44,28,363,177,285,130,195,68,0.84,0.42,6.73
TRUE,TRUE,100,100,116216,0,0,-1,1,0,3,7.0,7.0,9,Leandro,6.0,20,FALSE,,2025-08-29T18:30:07.885490Z,69,116216.jpg,4.4,FALSE,Trossard,0.9,FALSE,NA,a,1,3,40,105952,37157,45899,8395,0.9,5.8,Trossard,21,2023-01-20,1994-12-04,FALSE,p116216,642,2,2,4,4,0,0,0,0,0,0,4,137,147.0,157.0,174.0,47.8,6,21,4,31,7,1.92,1.15,3.07,3.61,136,51,57,44,41,23,49,34,NA,,NA,,4,,0.27,0,0.16,0.43,0.51,0.56,37,22,26,14,58,24,186,65,0.98,0.56,4.35
TRUE,TRUE,100,100,204480,1,-1,4,-4,2,3,8.3,8.3,2,Declan,7.3,21,TRUE,,2025-10-04T20:00:07.968078Z,69,204480.jpg,5.9,FALSE,Rice,21.8,FALSE,NA,a,1,3,65,2334214,303424,728812,70844,1.1,9.4,Rice,241,2023-07-15,1999-01-14,FALSE,p204480,893,2,4,6,5,0,0,0,0,0,0,10,254,273.4,318.0,99.0,69.1,32,46,17,95,10,1.18,2.38,3.56,5.45,22,7,4,4,97,57,14,9,2,,1,,NA,,0.12,0,0.24,0.36,0.55,0.5,38,23,7,4,9,3,17,5,1.01,0.6,9.57
TRUE,TRUE,NA,NA,195384,0,0,-1,1,0,3,3.3,3.3,5,Mikel,2.3,22,FALSE,,NA,59,195384.jpg,2.3,FALSE,Merino Zazón,1.0,FALSE,NA,a,1,3,23,149145,13952,120172,14258,0.4,3.9,Merino,200,2024-08-27,1996-06-22,FALSE,p195384,413,1,1,2,3,0,0,0,0,0,0,0,80,98.4,74.5,84.0,25.3,11,26,7,44,4,0.72,0.23,0.95,2.64,210,87,153,107,119,74,183,96,NA,,NA,,NA,,0.16,0,0.05,0.21,0.58,0.65,98,65,174,84,230,104,184,63,0.87,0.44,9.59
TRUE,FALSE,0,0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,23,FALSE,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,0.0,FALSE,Ferreira Vieira,0.0,FALSE,NA,u,1,3,0,933,0,4283,23,0.0,0.0,Fábio Vieira,173,2022-06-21,2000-05-30,FALSE,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,730,319,729,319,724,318,730,319,NA,,NA,,NA,,0,0,0,0,0,0,172,107,709,307,730,319,653,270,0,0,0
TRUE,TRUE,100,100,128295,0,0,-3,3,0,3,1.3,1.3,0,Christian,0.3,24,FALSE,,2025-08-18T08:00:05.297235Z,52,128295.jpg,1.0,FALSE,Nørgaard,0.1,FALSE,NA,a,1,3,2,4307,270,56022,614,0.1,0.4,Nørgaard,58,2025-07-10,1994-03-10,FALSE,p128295,14,0,0,0,0,0,0,0,0,0,0,0,7,6.4,0.1,7.0,1.4,2,2,0,4,0,0.05,0.00,0.05,0.05,406,189,418,204,339,177,412,194,NA,,NA,,NA,,0.32,0,0,0.32,0.32,0,213,133,351,172,411,195,415,140,0,0,25.71
TRUE,TRUE,NA,NA,499175,-1,1,-4,4,0,3,1.3,1.3,0,Ethan,0.3,25,FALSE,,NA,51,499175.jpg,1.4,FALSE,Nwaneri,0.1,FALSE,NA,a,1,3,7,10802,340,30704,817,0.1,1.4,Nwaneri,241,2022-09-17,2007-03-21,FALSE,p499175,163,0,0,1,0,0,0,0,0,0,0,0,17,8.4,22.4,24.0,5.4,1,10,2,13,0,0.23,0.08,0.31,0.73,399,187,294,168,271,148,360,173,4,,3,,NA,,0.13,0,0.04,0.17,0.4,0,235,146,349,170,342,161,411,138,0,0.55,7.18
TRUE,TRUE,100,75,481655,0,0,-1,1,1,3,5.3,4.0,5,Martín,4.3,26,FALSE,,2025-11-01T18:30:07.784912Z,54,481655.jpg,4.4,FALSE,Zubimendi Ibáñez,2.9,FALSE,NA,a,1,3,48,613708,16087,565414,24710,0.8,8.9,Zubimendi,200,2025-07-06,1999-02-02,FALSE,p481655,937,2,1,7,5,0,0,0,2,0,0,4,204,214.6,168.9,73.0,45.7,33,34,21,88,10,0.54,1.00,1.54,5.70,65,22,49,37,134,81,60,41,NA,,NA,,NA,,0.05,0,0.1,0.15,0.55,0.48,177,110,70,39,57,23,108,35,0.96,0.67,8.45
TRUE,FALSE,0,0,588796,0,0,0,0,0,3,0.0,0.0,0,Ismeal,0.0,28,FALSE,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,588796.jpg,0.0,FALSE,Kabia,0.1,FALSE,NA,u,1,3,0,6731,0,28307,369,0.0,0.0,Kabia,152,2024-09-14,2005-12-10,FALSE,p588796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,665,275,657,274,639,268,666,275,NA,,NA,,NA,,0,0,0,0,0,0,469,283,618,248,670,277,447,153,0,0,0
TRUE,FALSE,0,0,437742,0,0,0,0,0,3,0.0,0.0,0,Albert,0.0,29,FALSE,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,437742.jpg,0.0,FALSE,Sambi Lokonga,0.1,FALSE,NA,u,1,3,0,2952,0,13259,171,0.0,0.0,Sambi,21,2021-07-19,1999-10-22,FALSE,p437742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,625,243,616,242,598,236,626,243,NA,,NA,,NA,,0,0,0,0,0,0,420,249,580,218,632,247,553,207,0,0,0
TRUE,TRUE,50,0,219847,0,0,-2,2,0,4,0.5,0.0,0,Kai,0.0,30,FALSE,Knee injury - 50% chance of playing,2025-08-20T13:00:06.498911Z,73,219847.jpg,1.0,FALSE,Havertz,0.3,FALSE,NA,d,1,3,1,9157,190,109388,476,0.0,0.1,Havertz,80,2023-06-28,1999-06-11,FALSE,p219847,30,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,1,2,0,3,0,0.00,0.01,0.01,0.82,424,46,401,48,381,49,428,50,NA,,NA,,NA,,0,0,0.03,0.03,2.46,0,26,11,745,82,431,54,296,47,0,0,9
TRUE,TRUE,50,0,205651,0,0,-1,1,0,4,0.5,0.0,0,Gabriel,0.0,31,FALSE,Knee injury - 50% chance of playing,2025-07-21T10:00:04.697564Z,64,205651.jpg,0.0,FALSE,Fernando de Jesus,0.0,FALSE,NA,d,1,3,0,1513,204,3949,177,0.0,0.0,G.Jesus,30,2022-07-04,1997-04-03,FALSE,p205651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,744,80,744,80,744,80,744,80,NA,,NA,,NA,,0,0,0,0,0,0,62,20,735,76,744,80,590,75,0,0,0
TRUE,TRUE,NA,NA,232413,0,0,1,-1,1,3,6.3,6.3,2,Eberechi,5.3,266,FALSE,,NA,76,232413.jpg,4.1,FALSE,Eze,13.0,FALSE,NA,a,1,3,41,1695026,45601,1410693,136717,0.7,5.4,Eze,241,2025-08-23,1998-06-29,FALSE,p232413,700,1,3,6,3,0,0,0,0,0,0,3,146,127.0,104.9,202.0,43.4,7,27,7,41,8,1.88,0.95,2.83,4.09,165,69,106,79,28,16,68,45,1,,1,,1,,0.24,0,0.12,0.36,0.53,0.39,21,14,42,23,76,30,33,14,1.03,0.77,5.27
TRUE,TRUE,NA,NA,500040,0,0,-1,1,0,2,1.7,1.7,1,Cristhian,0.7,662,FALSE,,NA,54,500040.jpg,2.0,FALSE,Mosquera,0.2,FALSE,NA,a,1,3,14,32495,7782,28973,1287,0.1,2.6,Mosquera,200,2025-07-24,2004-06-27,FALSE,p500040,294,0,0,1,3,0,0,0,0,0,0,1,64,67.4,13.9,8.0,9.0,20,13,8,28,2,0.00,0.09,0.09,1.63,258,101,329,115,330,113,328,110,NA,,NA,,NA,,0,0,0.03,0.03,0.5,0.92,180,22,310,102,281,102,354,128,0.61,0.31,8.57
TRUE,TRUE,50,25,224117,-1,1,-2,2,1,4,2.0,1.0,0,Viktor,3.0,666,FALSE,Muscle injury - 50% chance of playing,2025-11-01T18:00:08.847750Z,88,224117.jpg,3.7,FALSE,Gyökeres,11.9,FALSE,NA,d,1,3,37,2396411,2861,3969545,350268,0.3,4.2,Gyökeres,206,2025-07-26,1998-06-04,FALSE,p224117,801,4,0,5,3,0,0,0,1,0,0,4,143,158.6,106.9,312.0,57.7,7,20,2,29,10,4.45,0.66,5.11,4.39,121,8,103,6,5,4,29,6,NA,,NA,,2,,0.5,0,0.07,0.57,0.49,0.34,7,3,138,16,107,12,35,7,1.12,0.56,3.26
TRUE,TRUE,NA,NA,616077,0,0,-2,2,0,3,1.0,1.0,0,Max,0.0,700,FALSE,,NA,43,616077.jpg,2.5,FALSE,Dowman,0.5,FALSE,NA,a,1,3,5,99136,11714,62362,4648,0.0,1.2,Dowman,241,2025-07-22,2009-12-31,FALSE,p616077,27,0,1,0,0,0,0,0,0,0,0,0,13,1.0,0.8,26.0,2.8,0,1,2,3,0,0.14,0.02,0.16,0.12,434,204,397,198,259,143,393,186,NA,,NA,,NA,,0.47,0,0.07,0.54,0.4,0,606,334,518,185,204,93,236,84,0,0,10
TRUE,TRUE,NA,NA,646243,0,0,0,0,0,3,1.0,1.0,0,Andre,0.0,711,FALSE,,NA,45,646243.jpg,0.0,FALSE,Harriman-Annous,0.0,FALSE,NA,a,1,3,0,1153,50,914,64,0.0,0.0,Harriman-Annous,241,2025-07-22,2007-12-28,FALSE,p646243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,679,287,671,286,653,280,680,287,NA,,NA,,NA,,0,0,0,0,0,0,486,296,631,260,681,287,693,296,0,0,0
TRUE,TRUE,100,100,448104,0,0,-1,1,0,2,1.7,1.7,0,Piero,0.7,725,FALSE,,2025-09-24T06:00:06.296709Z,54,448104.jpg,1.0,FALSE,Hincapié,0.1,FALSE,NA,a,1,3,2,7649,3248,4258,392,0.1,0.4,Hincapie,62,2025-09-01,2002-01-09,FALSE,p448104,26,0,0,0,0,0,0,0,0,0,0,0,7,0.8,0.6,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.41,436,153,404,147,726,248,438,153,NA,,NA,,NA,,0,0,0,0,1.42,0,175,21,308,101,420,143,554,197,0,0,0
TRUE,TRUE,100,100,98980,0,0,0,0,2,1,7.7,7.7,14,Emiliano,7.7,32,FALSE,,2025-10-03T14:00:08.570704Z,50,98980.jpg,4.4,FALSE,Martínez Romero,3.1,FALSE,NA,a,2,7,40,295909,96970,170598,5993,1.5,8.0,Martinez,10,2020-09-16,1992-09-02,FALSE,p98980,810,0,0,3,7,0,1,0,1,0,20,3,158,179.8,3.0,0.0,18.2,8,80,0,0,9,0.00,0.03,0.03,10.41,96,14,377,9,692,77,238,14,NA,,NA,,NA,,0,2.22,0,0,1.16,0.78,241,8,4,1,55,4,102,15,1,0.33,0
TRUE,TRUE,NA,NA,72147,0,0,-2,2,0,1,0.0,0.0,0,Marco,0.0,33,FALSE,,NA,43,72147.jpg,3.5,FALSE,Bizot,0.5,FALSE,NA,a,2,7,7,75814,240,95829,1945,0.0,1.6,M.Bizot,152,2025-07-15,1991-03-10,FALSE,p72147,180,0,0,1,3,0,0,0,1,0,4,0,22,25.4,0.0,0.0,2.6,4,19,0,0,2,0.00,0.00,0.00,4.10,349,27,542,64,511,51,395,27,NA,,NA,,NA,,0,2,0,0,2.05,1.5,563,30,492,70,117,12,246,33,1,0.5,0
TRUE,FALSE,0,0,462492,0,0,0,0,0,1,0.0,0.0,0,Joe,0.0,34,FALSE,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,462492.jpg,0.0,FALSE,Gauci,0.1,FALSE,NA,u,2,7,0,0,0,14159,325,0.0,0.0,Gauci,13,2024-02-01,2000-07-04,FALSE,p462492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,517,63,502,49,469,36,518,63,NA,,NA,,NA,,0,0,0,0,0,0,648,57,448,55,524,62,438,68,0,0,0
TRUE,FALSE,0,0,462381,0,0,0,0,0,1,0.0,0.0,0,Filip,0.0,35,FALSE,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,462381.jpg,0.0,FALSE,Marschall,0.0,FALSE,NA,u,2,7,0,0,0,1042,18,0.0,0.0,Marschall,241,2021-12-13,2003-04-24,FALSE,p462381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,516,62,501,48,468,35,517,62,NA,,NA,,NA,,0,0,0,0,0,0,647,56,447,54,523,61,699,81,0,0,0
TRUE,TRUE,75,NA,199796,0,0,1,-1,2,2,5.2,7.0,6,Matty,7.0,36,FALSE,Knock - 75% chance of playing,2025-11-20T10:30:09.177815Z,46,199796.jpg,4.7,FALSE,Cash,5.7,FALSE,NA,d,2,7,52,806337,82600,467713,38249,1.5,11.3,Cash,172,2020-09-03,1997-08-07,FALSE,p199796,966,2,0,4,9,0,0,0,3,0,0,5,179,233.6,139.2,57.0,43.1,47,24,18,65,11,0.22,0.71,0.93,13.58,47,20,67,14,175,41,69,15,NA,,NA,,NA,,0.02,0,0.07,0.09,1.27,0.84,387,68,8,3,42,23,65,19,1.02,0.37,6.06
TRUE,TRUE,100,100,101188,0,0,0,0,0,2,5.3,5.3,9,Lucas,5.3,37,FALSE,,2025-10-23T13:30:07.954318Z,45,101188.jpg,3.8,FALSE,Digne,2.0,FALSE,NA,a,2,7,42,172282,45106,167546,4202,1.2,9.3,Digne,73,2022-01-13,1993-07-20,FALSE,p101188,817,0,3,4,6,0,0,0,2,0,0,0,170,161.4,181.5,58.0,39.9,28,27,14,42,10,0.27,1.33,1.60,10.97,111,51,43,7,171,39,86,25,7,,2,,NA,,0.03,0,0.15,0.18,1.21,0.66,394,71,36,10,91,37,126,49,1.1,0.44,4.63
